"","share_youth_NEET","unemployment_total"
"1994",19.0078,6.1187
"1995",18.7562,5.6504
"1996",18.0922,5.4511
"1997",17.057,5.0003
"1998",16.1778,4.5105
"1999",15.7821,4.2188
"2000",15.4991,3.992
"2001",16.2098,4.7313
"2002",17.0622,5.7832
"2003",17.2323,5.9887
"2004",16.8302,5.5286
"2005",16.8066,5.0835
"2006",15.8426,4.623
"2007",15.6289,4.6221
"2008",16.902,5.7842
"2009",19.5752,9.2542
"2010",19.8849,9.6334
"2011",18.908,8.9492
"2012",18.7646,8.0694
"2013",18.2199,7.3749
"2014",16.7879,6.1675
"2015",15.4868,5.28
"2016",15.0012,4.8692
"2017",13.8379,4.3552
"2018",13.653,3.8956
"2019",13.089,3.6692
